Name,Terminal Name,ID,Latitude,Longitude
"Euston Road, Euston",000983,69,51.5262363,-0.134407652
"Calshot Street , King's Cross",001066,70,51.53136059,-0.117069978
"Newgate Street , St. Paul's",001074,71,51.5154186,-0.098850915
"Farringdon Lane, Clerkenwell",003432,72,51.52352001,-0.108340165
"Old Street Station, St. Luke's",001064,73,51.525615,-0.08853260000000773
"Vauxhall Cross, Vauxhall",001000,74,51.48591714,-0.124469948
"Torrens Street, Angel",001060,75,51.53219984,-0.105480698
"Longford Street, The Regent's Park",000976,76,51.52559505,-0.144083893
"Russell Square Station, Bloomsbury",000978,77,51.52341837,-0.124121774
"Sadlers Sports Centre, Finsbury",003433,78,51.52486887,-0.099489485
"Arundel Street, Temple",003455,79,51.511726,-0.11385596
"Webber Street , Southwark",003448,80,51.50069361,-0.102091246
"Great Titchfield Street, Fitzrovia",003450,81,51.52025302,-0.141327271
"Panton Street, West End",003452,83,51.50963938,-0.131510949
"Breams Buildings, Holborn",003449,84,51.51593725,-0.111778348
"Tanner Street, Bermondsey",000994,85,51.50064702,-0.078600401
"Sancroft Street, Vauxhall",003434,86,51.48947903,-0.115156562
"Bayley Street , Bloomsbury",001006,88,51.51858757,-0.132053392
"Tavistock Place, Bloomsbury",003439,89,51.5262503,-0.123509611
"Harrington Square 1, Camden Town",001038,90,51.53301907,-0.139174593
"Walnut Tree Walk, Vauxhall",001076,91,51.49368637,-0.111014912
"Borough Road, Elephant & Castle",001082,92,51.49889832,-0.100440521
"Cloudesley Road, Angel",002586,93,51.53440868,-0.109025404
"Bricklayers Arms, Borough",001070,94,51.49506109,-0.085814489
"Aldersgate Street, Barbican",001065,95,51.5208417,-0.097340162
"Falkirk Street, Hoxton",001047,96,51.53095071,-0.078505384
"Gloucester Road (North), Kensington",003447,97,51.49792478,-0.183834706
"Hampstead Road, Euston",000972,98,51.52554222,-0.138231303
"Old Quebec Street, Marylebone",001085,99,51.51457763,-0.158264483
"Albert Embankment, Vauxhall",001059,100,51.49043573,-0.122806861
"Queen Street 1, Bank",000999,101,51.51155322,-0.0929401
"Jewry Street, Aldgate",001045,102,51.51340693,-0.076793375
"Vicarage Gate, Kensington",003441,103,51.50472376,-0.192538767
"Crosswall, Tower",000991,104,51.51159481,-0.077121322
"Westbourne Grove, Bayswater",001041,105,51.51552971,-0.190240716
"Woodstock Street, Mayfair",001042,106,51.51410514,-0.147301667
"Finsbury Leisure Centre, St. Luke's",001049,107,51.52600832,-0.096317627
"Abbey Orchard Street, Westminster",003429,108,51.4981256,-0.1321021999999914
"Soho Square , Soho",001052,109,51.51563144,-0.132328837
"Wellington Road, St. John's Wood",001055,110,51.53304322,-0.172528678
"Park Lane , Hyde Park",001037,111,51.5100172,-0.157275636
"Gloucester Road (Central), South Kensington",003435,113,51.49646288,-0.183289032
"Park Road (Baker Street), The Regent's Park",001050,114,51.52451738,-0.158963647
"Braham Street, Aldgate",001062,115,51.51423368,-0.073537654
"Little Argyll Street, West End",000995,116,51.51449962,-0.141423695
"Lollard Street, Vauxhall",000998,117,51.49288067,-0.114934001
"Rochester Row, Westminster",003457,118,51.49582705,-0.13547809
"Bath Street, St. Luke's",000964,119,51.52589324,-0.090847761
