datetime,temp,precip
2022-04-01T00:00:00,2.3,0
2022-04-01T01:00:00,2.1,0
2022-04-01T02:00:00,1.8,0
2022-04-01T03:00:00,2.1,0
2022-04-01T04:00:00,2,0
2022-04-01T05:00:00,2,0
2022-04-01T06:00:00,2.1,0
2022-04-01T07:00:00,2,0
2022-04-01T08:00:00,2.1,0
2022-04-01T09:00:00,3.5,0
2022-04-01T10:00:00,4.6,0
2022-04-01T11:00:00,6.3,0
2022-04-01T12:00:00,5.9,0
2022-04-01T13:00:00,6.6,0
2022-04-01T14:00:00,8.5,0
2022-04-01T15:00:00,7.9,0
2022-04-01T16:00:00,6.7,0
2022-04-01T17:00:00,7.2,0
2022-04-01T18:00:00,8.1,0
2022-04-01T19:00:00,7.5,0
2022-04-01T20:00:00,6.6,0
2022-04-01T21:00:00,5.8,0
2022-04-01T22:00:00,4.8,0
2022-04-01T23:00:00,4.3,0
2022-04-02T00:00:00,3.8,0
2022-04-02T01:00:00,3.3,0
2022-04-02T02:00:00,2.6,0
2022-04-02T03:00:00,2.8,0
2022-04-02T04:00:00,2.3,0
2022-04-02T05:00:00,2.1,0
2022-04-02T06:00:00,2,0
2022-04-02T07:00:00,1.6,0
2022-04-02T08:00:00,2.3,0
2022-04-02T09:00:00,3.6,0
2022-04-02T10:00:00,5.3,0
2022-04-02T11:00:00,6.6,0
2022-04-02T12:00:00,7.5,0
2022-04-02T13:00:00,8.1,0
2022-04-02T14:00:00,7.6,0
2022-04-02T15:00:00,7.8,0
2022-04-02T16:00:00,7.2,0
2022-04-02T17:00:00,8,0
2022-04-02T18:00:00,7.3,0
2022-04-02T19:00:00,6.3,0
2022-04-02T20:00:00,5.5,0
2022-04-02T21:00:00,4.5,0
2022-04-02T22:00:00,3.1,0
2022-04-02T23:00:00,3.5,0
2022-04-03T00:00:00,4,0
2022-04-03T01:00:00,4.1,0
2022-04-03T02:00:00,3.3,0
2022-04-03T03:00:00,2.5,0
2022-04-03T04:00:00,0.8,0
2022-04-03T05:00:00,0,0
2022-04-03T06:00:00,0.5,0
